Product_info,Price,star_info,Reviews,Ratings,Features
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,"₹17,499",4.3,"3,148","33,771","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
Nokia 107.9 cm (43 inch) Full HD LED Smart Android TV with Sound by Onkyo,"₹25,999",4.3,826,"4,702","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '39 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'VA Panel', '1 Year Warranty on Product']"
Nokia 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by Onkyo,"₹15,999",4.3,"2,302","12,960","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '39 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'VA Panel', '1 Year Warranty on Product']"
SAMSUNG 80 cm (32 inch) HD Ready LED TV,"₹15,499",4.3,589,"6,029","['HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty and 1 Year Additional on Panel']"
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,29,999",4.6,576,"3,671","['Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '40 W Speaker Output', '120 Hz Refresh Rate', '4 x HDMI | 2 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹32,999",4.2,902,"6,382","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', 'A+ Grade UHD 10-bit DLED Panel', '1 Year Warranty on Product']"
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Voice Search,"₹39,999",4.3,121,817,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,"₹36,999",4.3,629,"4,047","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Grade', '1 Year Warranty on Product']"
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹99,999",4.4,2,25,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '120 Hz Refresh Rate', '4 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and 1 Year Additional on Panel from Samsung']"
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹52,999",4.2,184,"1,272","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty on Product, TV Remote, Cable and 2 Years Additional Warranty for Panel']"
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹18,999",4.3,"2,626","29,272","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']"
iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹28,999",4.2,902,"6,382","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', 'A+ Grade UHD 10-bit DLED Panel', '1 Year Warranty on Product']"
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart TV,"₹52,999",4.3,110,788,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
